Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-035162,2015-07,03/25/2015 12:42,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3825,S KINGSHIGHWAY BLVD,14,QUIK CASH, ,3825,KINGSHIGHWAY,884935.8,1004402
15-035225,2015-07,03/26/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,0,UNKNOWN,0,0
15-013968,2015-07,03/27/2015 10:00, , , ,-1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE, , ,58, , , , ,0,0
15-030813,2015-07,03/30/2015 07:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5020,RHODES AVE,6, , ,5020,RHODES,881921.9,999270.2
15-037926,2015-07,03/31/2015 04:55,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,1711,S 9TH ST,21, , ,1711,9TH,905041.7,1011294
15-034411,2015-07,04/01/2015 17:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,842,RIVER RUN CT,75, ,NUISANCE ABATEMENT PROPERTY,842,RIVER RUN,899316.4,1054473
15-036682,2015-07,04/01/2015 20:53,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5453,DELMAR BLVD,49, , ,4014,UNION,883561.5,1027076
15-037580,2015-07,04/02/2015 13:30,Y, , ,1, , 92000,1,SIMPLE ASSAULT-HARRASSMENT,4830,SIGEL AVE,6, , ,4830,SIGEL,883158.4,999582.2
15-036693,2015-07,04/03/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-038020,2015-07,04/04/2014 12:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,1525,FAIRMOUNT AVE,43, , ,1525,FAIRMOUNT,877307.8,1016190
15-015733,2015-07,04/04/2015 07:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1207,8TH,62, , ,1207,8TH,0,0
15-016046,2015-07,04/06/2015 16:30,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,4538,ST FERDINAND AVE,56, , ,1915,OLIVE,892527.3,1030034
15-034412,2015-07,04/06/2015 23:12,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,866,RIVER RUN CT,75, ,NUISANCE ABATEMENT PROPERTY,866,RIVER RUN,898877,1054526
15-016354,2015-07,04/08/2015 07:30,Y, , ,1, , 44011,5,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 1ST DEGRE",5461,DELMAR BLVD,49, , ,5461,DELMAR,883561.5,1027076
15-035413,2015-07,04/15/2015 14:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4618,S SPRING AVE,16, , ,4618,SPRING,890839.7,999689.8
15-018046,2015-07,04/15/2015 22:50, , , ,-1, , 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,5310,EUCLID,71,EUCLID PLAZA APARTMENTS, ,5310,EUCLID,0,0
15-018122,2015-07,04/16/2015 00:01, , , ,1, , 10000,5,HOMICIDE,5020,MINERVA,51, ,REAR, , ,0,0
15-035175,2015-07,04/17/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4110,N KINGSHIGHWAY BLVD,69, , ,4110,KINGSHIGHWAY,891880.6,1036419
15-019084,2015-07,04/20/2015 18:15, , , ,1, , 42025,6,ASSLT-AGGRV-KNIFE/CUT-2ND-CHILD-DOMESTIC,8516,TRAFFORD,73, , ,8516,TRAFFORD,0,0
15-032303,2015-07,04/21/2015 18:08,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51, ,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
15-035758,2015-07,04/22/2015 11:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5828,SELBER CT,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5828,SELBER,885088.8,1037930
15-029966,2015-07,04/23/2015 00:01, , , ,1, ,171200,6,SEX OFFNS-STATUATORY RAPE/FIRST,4500,AUBERT,71, , ,4500,AUBERT,0,0
15-035683,2015-07,04/24/2015 15:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4176,NEOSHO ST,5, , ,4176,NEOSHO,887837.4,1001391
15-020365,2015-07,04/26/2015 22:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",308,LAUREL ST,46, , ,308,LAUREL,880173.5,1025451
15-033530,2015-07,04/28/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-035045,2015-07,04/29/2015 17:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5944,PARK LN,73, , ,5944,PARK,891968.1,1048361
15-038819,2015-07,04/30/2015 02:00,Y, , ,1, , 51221,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,3645,BATES ST,3, , ,3645,BATES,890079.7,996296.6
15-035751,2015-07,04/30/2015 07:30,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8421,N BROADWAY,74, , ,8421,BROADWAY,897208.3,1049517
15-032719,2015-07,04/30/2015 14:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3014,SHENANDOAH AVE,25, , ,3014,SHENANDOAH,897047.3,1010486
15-036257,2015-07,05/01/1993 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1400,TEMPLE PL,36, , ,1900,OLIVE,0,0
15-036257,2015-07,05/01/1993 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1400,TEMPLE PL,36, , ,1900,OLIVE,0,0
15-037169,2015-07,05/01/2015 00:01,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3426,CALIFORNIA AVE,19, , ,3426,CALIFORNIA,897422.3,1004890
15-036447,2015-07,05/01/2015 08:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5937,W PARK AVE,41, , ,5937,PARK,881434.9,1016903
15-021640,2015-07,05/04/2015 07:45, , , ,-1, , 51112,1,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4226,NEBRASKA,17, , ,4226,NEBRASKA,0,0
15-029364,2015-07,05/08/2015 00:01,Y, , ,1, , 44025,5,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC,5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
15-022384,2015-07,05/08/2015 02:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,21, , , , ,0,0
15-023766,2015-07,05/08/2015 16:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8463,CONCORD,74, , ,8436,CONCORD,0,0
15-025961,2015-07,05/09/2014 00:01, , , ,-1, , 21000,5,RAPE -- FORCIBLE,1200,BAYARD,53, , ,1200,BAYARD,0,0
15-035010,2015-07,05/10/2015 08:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2046,E JOHN AVE,66, , ,2046,JOHN,902835.1,1033502
15-033654,2015-07,05/10/2015 13:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3542,OREGON AVE,19, , ,3542,OREGON,896959.5,1004128
15-023346,2015-07,05/13/2015 13:50,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3001,WASHINGTON AVE,37, ,MY GARAGE LLC,3001,WASHINGTON,899675.5,1020929
15-036430,2015-07,05/16/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3802,CASTLEMAN AVE,27, , ,3802,CASTLEMAN,893648.2,1012629
15-030190,2015-07,05/16/2015 21:00,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",308,N EUCLID AVE,38,SUB ZERO VODKA BAR, ,308,EUCLID,888454.8,1023811
15-024140,2015-07,05/17/2015 04:45, , , ,-1, , 21000,1,RAPE -- FORCIBLE,6100,VERMONT,1, , ,1900,OLIVE,0,0
15-032517,2015-07,05/18/2015 00:01,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2704,GEYER AVE,24, , ,2704,GEYER,899065.7,1012174
15-037940,2015-07,05/21/2015 10:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5704,NATURAL BRIDGE AVE,50, , ,4956,MAPLE,886070.3,1038255
15-024826,2015-07,05/21/2015 15:50,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,785,AUBERT AVE,53, , ,785,AUBERT,888164.8,1027052
15-032878,2015-07,05/22/2015 11:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3404,UTAH ST,25, , ,3404,UTAH,894774.6,1006168
15-024997,2015-07,05/22/2015 14:05,Y, , ,1, ,183250,3,DRUGS-SALE/COCAINE,3549,MICHIGAN AVE,19, , ,3549,MICHIGAN,895465.8,1004312
15-025308,2015-07,05/23/2015 22:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,912,NEW HAVEN CT,62, , ,912,NEW HAVEN,908783.7,1021916
15-032736,2015-07,05/25/2015 12:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,7726,MINNESOTA AVE,2, , ,7726,MINNESOTA,888538.7,988174.1
15-032877,2015-07,05/25/2015 12:00,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,418,S TUCKER BLVD,34,UHAUL RENTALS, ,1418,TUCKER,906090.9,1016042
15-036428,2015-07,05/25/2015 12:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1725,LAFAYETTE AVE,32, , ,1725,LAFAYETTE,902615.3,1012508
15-025950,2015-07,05/27/2015 15:30,Y, , ,1, , 42015,4,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC,1108,N 9TH ST,62, , , , ,908449,1020410
15-033641,2015-07,05/28/2015 15:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,410,FASSEN ST,1, , ,410,FASSEN,893150.6,994428.3
15-034191,2015-07,05/28/2015 17:30,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3137,S GRAND BLVD,15, , ,3137,GRAND,893723,1007999
15-032307,2015-07,05/29/2015 09:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5269,VERNON AVE,51, , ,5269,VERNON,885298.2,1028951
15-032725,2015-07,05/30/2015 08:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",35,WILLMORE RD,8, , ,35,WILLMORE,874818.8,1000067
15-038141,2015-07,05/30/2015 09:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4159,MCPHERSON AVE,38, , ,4159,MCPHERSON,892591.1,1022753
15-035396,2015-07,05/31/2015 13:51,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5035,LANSDOWNE AVE,7, , ,5035,LANSDOWNE,883283.6,1003179
15-026681,2015-07,05/31/2015 16:08,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1531,PINE ST,36, , ,1531,PINE,905263.2,1018398
15-037570,2015-07,05/31/2015 17:30,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6625,WISE AVE,44, , ,6625,WISE,877711,1017926
15-035999,2015-07,05/31/2015 18:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6404,CHIPPEWA ST,8, , ,6404,CHIPPEWA,877901.9,1005015
15-026747,2015-07,05/31/2015 22:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5417,ARLINGTON,71, , ,5417,ARLINGTON,0,0
15-034229,2015-07,06/01/2000 12:40,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5417,S BROADWAY,1, , ,5417,BROADWAY,894150.6,994058.6
15-036381,2015-07,06/01/2015 01:00,Y, , ,1, , 69702,0,LARCENY-ALL OTHER UNDER $500,0,UNKNOWN,0, ,APT 302,6105,ETZEL,0,0
15-033453,2015-07,06/01/2015 08:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3518,S GRAND BLVD,25,PHILLIPS 66 GAS STATION, ,3518,GRAND,893530.5,1004900
15-035361,2015-07,06/01/2015 08:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3518,S GRAND BLVD,25, , ,3518,GRAND,893530.5,1004900
15-026806,2015-07,06/01/2015 11:42,Y, , ,1, ,182400,3,DRUGS-POSSESSION/MARIJUANA,3500,OREGON,19, , ,3500,OREGON,0,0
15-038408,2015-07,06/01/2015 12:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3949,LINDELL BLVD,38,3949 APARTMENTS,GARAGE,3949,LINDELL,893684.9,1021926
15-034024,2015-07,06/01/2015 12:16,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5211,ITASKA ST,7, , ,5211,ITASKA,882797.5,1001573
15-034038,2015-07,06/01/2015 15:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4718,S COMPTON AVE,17, , ,4718,COMPTON,894113.9,996786.7
15-029070,2015-07,06/01/2015 18:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5177,DR MARTIN LUTHER KING DR,52, , ,5177,DR MARTIN LUTHER KING,886731.1,1031336
15-033747,2015-07,06/02/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-026987,2015-07,06/02/2015 10:30,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4644,MAFFIT,36, , ,4644,MAFFIT,906177.4,1016672
15-037897,2015-07,06/02/2015 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5927,SALOMA AVE,76, , ,5927,SALOMA,888449.3,1043693
15-032694,2015-07,06/02/2015 14:15,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12,U-HAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
15-027222,2015-07,06/03/2015 13:52,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5018,QUEENS AVE,71, , ,5018,QUEENS,893122.8,1039328
15-027306,2015-07,06/03/2015 23:25,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5819,WESTMINSTER PL,46, ,@HAMILTON SCHOOL,5819,WESTMINSTER,880233.9,1026724
15-038079,2015-07,06/04/2015 00:01,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,3144,N BROADWAY,64, ,@  PSC METALS,3144,BROADWAY,908115.8,1028238
15-035150,2015-07,06/05/2015 09:00,Y, , ,1, , 69702,0,LARCENY-ALL OTHER UNDER $500,0,UNKNOWN,0, , ,4804,MAFFITT,0,0
15-032763,2015-07,06/06/2014 12:47,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,1900,ARSENAL ST,22,BENTON PARK CAFE, ,1900,ARSENAL,900821.1,1006304
15-033531,2015-07,06/06/2015 12:00,Y, , ,1, ,175400,4,SEX OFFNS-SX MISCONDUCT/SECOND,2400,N SPRING AVE,59, , ,2400,SPRING,0,0
15-036116,2015-07,06/06/2015 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4837,PAGE BLVD,53, , ,4837,PAGE,889482.9,1029026
15-027772,2015-07,06/06/2015 15:15,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,300,S JEFFERSON AVE,36, , , , ,901180.5,1017627
15-035271,2015-07,06/08/2015 18:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4600,ANDERSON AVE,69, , ,4014,UNION,895225.4,1036122
15-035391,2015-07,06/08/2015 23:59,Y, , ,1, , 69711,6,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,8716,ANNETTA ST,74, , ,8716,ANNETTA,895072.8,1049752
15-033257,2015-07,06/09/2015 12:00,Y, , ,1, , 72113,5,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5510,SAINT LOUIS AVE,50, , ,5510,ST LOUIS,886686.7,1035487
15-031628,2015-07,06/10/2015 08:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,3020,MOUNT PLEASANT ST,17, , ,3020,MOUNT PLEASANT,894904.5,997460.5
15-033920,2015-07,06/10/2015 16:30,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1900,HEBERT ST,63,HEADQUARTERS, ,1900,HEBERT,0,0
15-033883,2015-07,06/10/2015 17:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3900,SHAW AVE,27, , ,3900,SHAW,892937,1013013
15-028520,2015-07,06/10/2015 18:00,Y, , ,1, ,182250,4,DRUGS-POSSESSION/COCAINE,2534,N GRAND BLVD,59, ,@HOTEL- GRAND MOTEL,2534,GRAND,899572.2,1026783
15-035319,2015-07,06/11/2015 01:12,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3631,GRAVOIS AVE,15, , ,3631,GRAVOIS,893179.3,1004622
15-033844,2015-07,06/12/2015 08:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,34,VIRGINIA AVE,30, , ,3423,VIRGINIA,895165,1005649
15-033793,2015-07,06/12/2015 09:07,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3919,COMSTOCK DR,4, , ,3919,COMSTOCK,883207.8,990486.9
15-033582,2015-07,06/12/2015 13:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,4487,MCPHERSON AVE,38, , ,4487,MCPHERSON,889925.6,1024359
15-033218,2015-07,06/12/2015 14:34,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,807,CLARA AVE,48, ,NUISANCE ABATEMENT PROPERTY,807,CLARA,882459.9,1027940
15-033219,2015-07,06/12/2015 14:48,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,807,CLARA AVE,48, ,NUISANCE ABATEMENT PROPERTY,807,CLARA,882459.9,1027940
15-028878,2015-07,06/12/2015 14:55, , , ,-1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",516,GRAND,77,BEST STEAK HOUSE, ,516,GRAND,0,0
15-033220,2015-07,06/12/2015 16:03,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,807,CLARA AVE,48, ,NUISANCE ABATEMENT PROPERTY,807,CLARA,882459.9,1027940
15-028930,2015-07,06/12/2015 16:41,Y, , ,1, ,183250,4,DRUGS-SALE/COCAINE,3700,N MARKET ST,59, , ,3700,MARKET,898566.6,1026384
15-035754,2015-07,06/13/2015 02:05,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8442,N BROADWAY,74, ,NUISANCE ABATEMENT PROPERTY,8442,BROADWAY,897472.3,1049862
15-032305,2015-07,06/13/2015 15:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5017,MAPLE AVE,51, , ,5017,MAPLE,887903.4,1028966
15-032271,2015-07,06/13/2015 18:30,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",0,S BOYLE AVE / CHOUTEAU AVE,39, , ,3706,NATURAL BRIDGE,890441.6,1017999
15-029140,2015-07,06/13/2015 22:19,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,520,LOCUST ST,35, , , , ,908813.1,1017886
15-033819,2015-07,06/14/2015 19:19,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4909,LINDENWOOD AVE,14, , ,4909,LINDENWOOD,884939.5,1004326
15-029363,2015-07,06/14/2015 20:00,Y, , ,1, , 43012,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,0,W FLORISSANT AVE / N KINGSHIGH,71, ,STREET CORNER,4912,FLORISSANT,895487.5,1040711
15-034761,2015-07,06/14/2015 20:28,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,5011,LANSDOWNE AVE,7, ,REAR,5011,LANSDOWNE,883533.1,1003146
15-034187,2015-07,06/15/2015 00:01,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,7026,WINONA AVE,9, , ,7026,WINONA,873536.9,1005274
15-036240,2015-07,06/15/2015 00:01,Y, , ,1, , 92000,1,SIMPLE ASSAULT-HARRASSMENT,5600,HAMPTON AVE,6,JJ TWIGS, ,5600,HAMPTON,879289.4,1000263
15-030814,2015-07,06/15/2015 08:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",3157,SUBLETTE AVE,13, ,@SOUTH PATROL DIVISION,3157,SUBLETTE,882564.6,1008801
15-029339,2015-07,06/15/2015 09:28,Y, , ,1, ,266400,4,PUBLIC ORDER-ANIMAL VIOLATION,5904,MINEVERA,36, , ,5904,MINEVERA,906177.4,1016672
15-036677,2015-07,06/15/2015 10:00,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,1766,SWITZER AVE,73, , ,1766,SWITZER,891668.8,1049771
